Dependents,ApplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Gender_Male,Gender_nan,Married_Yes,Married_nan,Self_Employed_Yes,Self_Employed_nan,Education_Not Graduate,Property_Area_Semiurban,Property_Area_Urban,Loan_Status_Y,TotalIncome
0.666666667,0.741570035,1.129149013,0.75,1,1,0,1,0,0,0,1,0,1,1,0.887169921
0,0.590828782,1.000973819,0.75,1,1,0,1,0,0,0,0,0,1,1,0.896939687
1,0.686527202,0.873528873,0.75,1,1,0,1,0,0,0,0,0,1,1,0.391051465
0,0.61131052,1.229232471,0.375,0,1,0,1,0,1,0,1,0,0,0,0.86758962
0.333333333,0.972115304,1.056389658,0.75,0,1,0,1,0,0,0,0,0,0,0,0.717593371
0,0.865637651,0.977918043,0.75,0,0,0,0,0,0,0,0,1,0,0,0.597382714
0,1.06857408,1.581134136,0.75,1,1,0,1,0,0,0,0,1,0,0,1.295143867
0,0.715600994,1.03459043,0.375,0,1,0,0,0,0,0,1,0,1,0,0.78899124
0.333333333,1.533258057,1.740058095,0.75,1,1,0,1,0,0,0,0,0,1,1,1.329555092
1,1.218519443,1.029065554,0.125,1,1,0,1,0,1,0,1,0,1,1,0.990164132
0,0.884779725,1.088222585,0.75,0,0,0,0,0,0,0,0,1,0,0,0.619117085
0,0.716940691,1.260485015,0.75,1,1,0,1,0,0,0,0,0,1,1,0.894262502
0.666666667,0.464525929,0.860499372,0.75,1,1,0,1,0,1,0,1,1,0,1,0.526732262
0,0.764650466,0.749659391,0.625,1,1,0,0,0,0,0,0,1,0,1,0.481741168
1,0.947171444,0.84729786,0.75,0,1,0,1,0,0,0,1,1,0,0,0.689578652
1,1.012893213,1.324336487,0.75,1,1,0,1,0,1,0,0,1,0,1,0.983499361
0,0.803763782,0.960270526,1,1,1,0,0,0,0,0,0,0,1,0,0.526732262
0,0.803763782,1.27791465,0.75,1,1,0,0,0,0,0,0,0,1,0,1.134259508
0.333333333,0.255684566,0.942305971,0.75,1,1,0,1,0,1,0,0,0,1,0,0.573487478
1,0.710055693,1.29504569,0.625,0,1,0,1,0,0,0,0,1,0,0,0.99755434
1,0.73764365,1.056389658,0.75,1,1,0,1,0,1,0,1,1,0,1,0.795064877
0,0.818385929,0.948330086,0.75,1,0,0,0,0,0,0,0,1,0,1,0.543484849
0.333333333,0.570693873,1.194626942,0.75,1,1,0,1,0,1,0,0,1,0,1,0.25433609
0.666666667,0.351296323,1.238261878,0.75,1,0,0,1,0,0,0,0,0,1,0,0.436365198
0,1.100324618,1.603217053,0.75,1,1,0,1,0,0,0,0,1,0,0,1.110004352
0.333333333,0.839629903,0.492045729,0.5,1,1,0,1,0,0,0,0,0,1,1,0.567761236
0,0.565060603,1.088222585,0.75,1,1,0,0,0,0,0,0,1,0,1,0.710589716
0.666666667,0.73764365,0.873528873,0.75,1,1,0,1,0,0,0,1,1,0,1,0.772474557
0,0.590828782,0.905378698,0.75,1,1,0,1,0,0,0,0,1,0,1,0.668880211
0,1.357035857,1.414949617,0.75,1,1,0,0,0,0,0,0,0,1,1,1.140565908
0,1.064917553,1.273585639,0.75,1,1,0,1,0,0,0,0,1,0,1,1.256965871
0,0.674202797,1.061766015,0.75,1,1,0,1,0,0,0,0,1,0,1,0.842241624
0.666666667,1.128440049,1.328451719,0.375,1,1,0,1,0,0,0,0,1,0,1,1.416641421
0.666666667,0.727759705,0.749659391,0.75,1,1,0,1,0,0,0,1,0,1,1,0.738884261
0,0.860866788,1.012305385,0.75,1,1,0,0,0,0,0,0,1,0,1,0.591956937
0,0.78361587,0.221591961,0.25,1,1,0,0,0,0,0,1,1,0,1,0.503589643
0,1.185761712,1.056389658,0.75,1,1,0,0,0,0,1,0,0,1,0,0.954323627
0,0.587786665,1.09343093,0.75,1,0,0,1,0,0,0,0,1,0,1,0.694203391
0,0.486258967,0.492045729,0.75,1,1,0,1,0,0,0,0,1,0,1,0.379904417
0,0.868805628,0.972070073,0.375,1,1,0,1,0,0,0,1,1,0,1,0.600983613
0,0.439221929,1.061766015,0.75,1,1,0,1,0,0,0,0,1,0,1,0.767922255
0.666666667,0.883080369,1.072432783,0.375,1,1,0,1,0,0,0,1,0,1,1,1.038887908
0,0.958801788,1.163635189,0.75,1,1,0,0,0,0,0,0,1,0,1,1.148440643
0,1.727620754,1.056389658,0.75,1,1,0,1,0,0,0,0,0,1,1,1.535479133
0,0.933384584,1.056389658,0.75,1,1,0,1,0,0,0,0,1,0,1,1.108530164
0,0.813839434,1.206295686,0.75,1,1,0,0,1,0,0,0,0,1,1,0.661525651
0.333333333,0.690487262,0.879980508,0.75,1,1,0,1,0,0,0,0,0,1,1,0.583513307
0.666666667,1.581422734,1.469908501,0.75,1,1,0,1,0,0,0,0,0,1,1,1.461788663
0,1.241857842,1.000973819,0.75,1,1,0,0,0,0,1,1,0,0,0,1.015632516
0.666666667,0.811406157,1.437296916,0.75,0,1,0,1,0,0,0,0,0,1,0,1.022837551
1,0.50587767,0.840631169,1,1,1,0,1,0,0,0,1,1,0,1,0.349066471
0,1.019097862,1.088222585,0.75,1,1,0,0,0,0,0,0,0,1,1,0.77013202
0,0.669124866,1.103766939,0.75,1,0,0,1,0,0,1,0,1,0,1,0.76265441
0,0.776072816,1.168466116,0.75,0,1,0,1,0,0,0,1,0,0,0,1.053022652
0.333333333,1.253472718,1.194626942,0.75,1,0,0,0,0,1,0,0,1,0,1,1.028287393
0,0.985637725,0.989512376,0.75,1,1,0,0,0,0,1,0,1,0,1,0.732744974
0.333333333,1.782894239,1.316054866,0.375,1,1,0,1,0,0,0,0,0,0,1,1.593629642
0,0.710055693,1.178058516,0.75,1,0,0,1,0,0,0,0,1,0,1,0.788449572
0.333333333,0.535003965,0.778542265,0.75,1,1,0,1,0,0,0,0,0,1,1,0.502147836
0,1.049796417,1.273585639,0.75,1,1,0,1,0,0,0,0,0,0,0,1.055514712
0,1.507631959,1.584318852,0.75,1,0,0,0,0,0,0,0,0,1,1,1.30221874
0,1.061603352,1.29504569,0.75,1,1,0,1,0,0,0,0,0,0,1,1.118219885
0,0.865637651,0.43349242,0.75,1,0,0,0,0,0,0,0,1,0,1,0.597382714
0,0.519426066,1.09343093,0.75,0,0,0,0,0,0,0,0,1,0,1,1.358081615
0.666666667,0.674028124,0.749659391,0.75,1,1,0,1,0,0,0,0,1,0,1,0.376433674
0,0.884779725,1.352793691,0.75,1,1,0,1,0,0,0,1,0,0,1,0.899124792
0,0.79482483,0.833919734,0.75,1,0,0,0,0,0,0,0,0,0,1,0.516473209
1,2.209074493,1.886599724,0.75,1,0,1,1,0,0,0,0,0,0,1,2.037199664
0,0.821254722,1.056389658,0.75,1,1,0,0,0,0,0,0,0,0,1,0.795871915
0.333333333,1.515569709,1.206295686,0.375,0,1,0,1,0,1,0,0,0,1,0,1.58021938
0,1.109407848,1.3035024,0.75,1,1,0,1,0,0,0,0,0,0,0,1.148440643
0,2.061871639,2.392241547,1,1,1,0,0,0,1,0,0,0,1,1,1.884838626
0,0.49402722,0.697015657,0.75,1,1,0,0,0,0,0,0,0,1,1,0.560131614
0,0.631381162,0.665640535,0.75,1,1,0,0,0,0,0,0,1,0,1,0.326319338
0,0.758087292,0.221591961,0.25,1,1,0,1,0,1,0,0,1,0,1,0.474165503
0,0.965611216,0.892760234,0.75,1,1,0,0,0,0,0,0,1,0,1,0.71029683
1,0.841404657,1.678327419,0.75,1,1,0,1,0,0,0,0,1,0,0,1.405449112
0,0.924041253,0.771399377,0.75,1,0,0,1,0,0,0,0,0,0,0,0.663522858
0.666666667,0.734853103,0.799669811,0.75,1,1,0,1,0,1,0,0,0,1,1,0.958217538
0,1.806587576,1.528749001,0.75,0,1,0,0,0,0,0,0,1,0,0,1.618505963
0.666666667,0.870529395,1.05098424,0.75,1,1,0,1,0,0,0,1,0,0,0,0.812538762
0.666666667,0.984613856,1.316054866,0.75,1,1,0,1,0,0,0,0,0,0,0,0.992928064
0,1.031515036,1.24274619,0.75,1,1,0,0,0,0,0,0,0,1,1,0.783969577
0,1.203201299,1.273585639,0.375,1,1,0,0,0,1,0,0,1,0,1,0.97341817
0,0.627728524,1.012305385,0.75,1,1,0,1,0,0,0,0,1,0,1,0.686133519
0.666666667,1.605109794,1.324336487,0.375,1,1,0,1,0,0,0,0,0,1,1,1.40596058
0,0.558023138,0.879980508,0.75,1,0,0,1,0,0,0,0,1,0,1,0.958217538
0.666666667,1.799073417,0.665640535,0.75,1,0,0,1,0,0,0,0,0,1,1,1.610619811
0.333333333,0.38916619,0.281851152,0.75,1,1,0,1,0,0,0,0,0,1,1,0.377660018
0,1.476175794,1.469908501,0.75,1,0,0,0,0,0,0,0,0,0,0,1.399291002
0,0.961033052,1.029065554,0.75,1,1,0,1,0,0,0,0,1,0,1,0.820441243
0,1.131429753,0.989512376,0.75,0,1,0,0,0,0,0,0,0,0,0,0.894627995
0,0.60534091,1.168466116,0.75,1,1,0,1,0,1,0,0,0,0,1,0.90069996
0,1.408622486,1.535449194,0.75,1,1,0,0,0,0,0,0,0,1,0,1.196143006
0.666666667,0.548364084,0.960270526,0.75,1,1,0,1,0,0,0,1,0,0,0,0.227640317
0,0.724609313,0.492045729,0.75,1,1,0,0,0,0,0,0,0,1,1,0.435401638
1,2.685028001,2.318733079,0.375,0,1,0,1,0,0,0,0,1,0,1,2.525364248
0.333333333,1.100324618,1.206295686,0.75,1,1,0,1,0,0,0,0,0,0,1,0.860304613
0.333333333,1.439319232,1.324336487,0.75,1,1,0,1,0,0,0,0,0,1,1,1.229111294
0,0.678037892,1.000973819,0.75,1,1,0,0,0,0,1,0,0,0,1,0.734605016
0,0.924041253,1.571518678,0.75,1,1,0,1,0,0,0,0,1,0,1,1.285879298
0,0.461937768,0.867035343,0.75,1,1,0,1,0,0,0,1,1,0,1,0.365535151
0,1.299563384,1.633941435,0.75,1,1,0,1,0,0,0,0,0,1,0,1.078377906
0.333333333,0.69682507,1.006655653,0.75,0,1,0,1,0,0,0,0,1,0,0,0.630127087
0.666666667,0.865781868,1.196971609,0.75,1,1,0,1,0,0,0,0,0,0,1,0.810420844
0,1.421692935,0.704708003,0.375,1,1,0,1,0,0,0,0,0,1,1,1.210189824
0,0.797144299,1.3035024,0.75,1,1,0,1,0,0,0,0,0,0,1,0.964711739
0,0.924041253,0.954318127,0.75,1,0,0,1,0,0,0,0,0,0,0,0.663522858
0,0.57918076,1.05098424,0.75,1,1,0,1,0,0,0,0,0,0,1,0.831141287
0,0.539610422,0.608247737,1,0,1,0,0,0,0,0,0,1,0,0,0.217143017
0.666666667,1.305805253,1.376557186,0.75,1,1,0,1,0,0,0,0,1,0,1,1.085146229
0,0.452608128,0.84729786,0.75,1,1,0,1,0,0,1,1,0,0,1,0.497991023
1,2.928033093,2.460714558,0.625,1,0,1,1,0,0,0,0,0,1,1,2.772655629
1,0.768154491,0.749659391,0.375,1,1,0,1,0,0,0,1,0,0,0,0.485782622
0,1.066452563,1.324336487,0.75,1,1,0,1,0,0,0,0,1,0,1,1.374498361
0,0.890986107,0.792676776,0.75,1,1,0,1,0,1,0,1,1,0,0,0.737032169
0,0.764171692,0.977918043,0.75,1,1,0,1,0,0,0,0,0,0,1,0.789938454
0.666666667,0.500489614,0.886390786,0.75,1,1,0,1,0,0,0,0,0,0,1,0.511482638
1,1.043538499,2.144161732,0.75,0,1,0,1,0,0,0,0,1,0,0,1.720443391
0.333333333,0.803763782,0.977918043,0.75,1,1,0,1,0,0,0,0,1,0,1,0.526732262
0,0.558611489,0.892760234,1,0,1,0,0,0,0,0,1,0,1,0,0.532697619
0.333333333,1.144937536,1.29504569,0.75,0,1,0,1,0,0,0,0,0,1,0,1.535479133
0,0.473318608,0.641445806,0.75,1,1,0,0,0,0,0,0,0,0,0,0.976677665
0,0.92635135,0.689263681,0.375,1,1,0,1,0,0,0,0,1,0,1,0.666128586
0.333333333,2.52968994,1.587493458,0.75,1,1,0,1,0,0,0,0,1,0,0,2.366674447
0,0.784398343,0.930147767,0.75,1,0,0,1,0,0,0,0,1,0,1,0.504489719
0,2.664904744,1.000973819,0.75,1,1,0,1,0,1,0,0,1,0,1,2.614254715
0.333333333,0.527750987,0.633249039,0.625,0,1,0,1,0,1,0,0,0,0,0,0.202891886
0,0.568366712,0.565137613,0.75,1,1,0,1,0,0,0,0,0,0,1,0.65396166
0,0.165180338,1.24274619,0.75,1,0,1,1,0,1,0,0,0,0,1,0.856515578
0,1.422106397,1.328451719,0.375,1,1,0,1,0,0,0,0,0,0,1,1.210633949
0,0.964305307,0.472906389,0.75,1,1,0,0,0,0,0,1,0,0,1,0.708831111
0,1.621701735,1.224687009,0.75,1,1,0,0,0,0,0,0,1,0,0,1.423555587
0,1.104081453,1.206295686,0.75,1,1,0,1,0,0,0,1,0,1,0,0.864456036
0,0.820198756,0.712341628,0.75,1,1,0,0,0,0,0,0,1,0,1,0.545559326
0,0.869236849,1.000973819,0.75,1,1,0,0,0,0,0,0,0,0,1,0.601473642
0.333333333,0.702953271,1.251654935,0.75,1,1,0,1,0,0,0,0,1,0,0,0.82279986
0,1.336263067,1.324336487,0.75,1,1,0,0,0,0,0,0,0,0,1,1.429495167
0,0.47139512,1.000973819,0.75,1,0,0,0,0,0,0,1,0,1,1,0.614614451
0,0.751157369,0.960270526,0.75,1,0,0,1,0,0,0,0,1,0,1,0.889131525
0,1.551583657,0.764205102,0.75,1,1,0,0,0,1,0,0,0,1,0,1.349075383
0.333333333,0.609635166,0.813510863,0.75,1,1,0,1,0,0,0,1,1,0,1,0.739880122
0.666666667,0.969258716,1.233757366,0.75,0,1,0,0,0,0,0,0,1,0,1,0.71438945
1,0.840221838,0.960270526,0.375,1,1,0,1,0,0,0,1,0,1,0,0.568436616
0.333333333,0.764650466,1.082986971,0.75,1,1,0,1,0,0,0,1,0,1,1,0.663522858
0.666666667,0.829064328,1.023509984,0.75,1,1,0,1,0,0,0,1,1,0,1,0.555696708
0,0.89994536,1.000973819,0.75,1,0,0,0,0,0,0,1,1,0,1,0.636296926
0,0.722947216,0.742306417,0.75,1,0,0,0,0,0,0,0,0,1,1,0.433471729
0,0.837703691,0.538350297,0.75,1,1,0,0,0,0,0,1,0,0,1,0.922140237
0,0.586834102,0.573909599,0.75,1,1,0,0,0,0,0,0,0,1,1,0.273560443
0,0.751480758,1.040084949,0.75,1,1,0,0,0,0,0,0,1,0,0,0.46653201
0,1.476175794,1.429903167,0.75,1,0,0,0,0,0,0,0,1,0,0,1.268598229
1,0.7534189,1.045549444,0.75,0,1,0,1,0,0,0,0,1,0,0,0.678300493
0.333333333,1.285825224,1.522003613,0.75,1,1,0,1,0,1,0,0,0,1,1,1.063468401
1,1.065862454,1.056389658,0.75,1,1,0,1,0,1,0,1,0,0,1,0.822145246
0,0.71106622,1.09343093,0.75,1,1,0,1,0,0,0,0,0,1,1,0.884466417
1,0.81899057,0.879980508,0.75,1,1,0,1,0,0,0,1,1,0,1,0.701174549
0,0,1.082986971,0.75,1,1,0,1,0,0,0,0,0,0,0,0.145827808
0,0.80022858,1.061766015,0.75,1,1,0,1,0,0,0,0,1,0,1,0.795468478
0.666666667,0.979221277,0.681451141,0.75,0,1,0,1,0,0,1,0,1,0,0,0.725558549
0.666666667,0.882371451,1.040084949,0.75,1,0,0,1,0,0,0,0,1,0,1,0.940923235
0,0.536408178,0.582605306,0.75,0,1,0,1,0,0,0,0,0,1,0,0.21329833
0.666666667,0.842733659,0.977918043,0.75,1,1,0,1,0,0,0,0,1,0,1,0.825152928
0,0.676470767,1.129149013,0.75,1,1,0,0,0,0,0,0,1,0,1,0.829842517
0,1.265824557,1.273585639,0.75,1,1,0,1,0,0,0,0,1,0,1,1.142659235
0,1.128440049,1.045549444,0.75,1,1,0,1,0,0,0,0,1,0,1,0.89133374
0,0.723944805,1.251654935,0.75,1,1,0,1,0,0,0,0,0,0,0,0.434630121
0,0.944509213,1.098612289,0.75,1,1,0,1,0,1,0,1,0,1,0,0.686583558
0.666666667,1.128440049,1.414949617,0.75,1,1,0,1,0,0,0,0,1,0,1,1.079593516
0,0.947570168,1.196971609,1,1,1,0,0,1,0,0,0,1,0,1,0.690027143
0,1.144937536,1.376557186,0.75,1,1,0,0,0,1,0,0,0,0,1,0.90949934
0.333333333,0.58911873,0.905378698,0.75,1,1,0,1,0,0,0,0,1,0,1,0.657673621
0,0.798533403,0.413187154,0.375,1,1,0,1,0,0,1,0,0,0,1,0.520731107
0,0.713755975,1.000973819,0.75,1,1,0,0,0,0,0,1,0,0,1,0.833086285
0,1.336263067,1.648956733,0.75,1,0,0,0,0,0,0,0,1,0,1,1.118122477
0.333333333,0.708031572,1.108895156,0.75,1,1,0,1,0,0,0,0,1,0,1,0.715992694
0.333333333,1.041605081,1.251654935,0.75,1,1,0,1,0,0,0,0,0,0,1,0.951795934
0,1.070926054,1.571518678,0.75,1,1,0,1,0,0,1,0,0,1,0,0.82776097
0,0.758729501,1.012305385,0.75,1,0,0,0,0,1,0,0,0,1,1,0.474907124
0.333333333,0.813231669,0.954318127,0.75,1,0,0,0,0,0,0,0,0,0,1,0.537583685
0.333333333,0.73468871,0.853920401,0.75,1,1,0,1,0,0,0,0,1,0,1,0.447094108
0.666666667,1.079464117,1.000973819,0.75,1,1,0,1,0,0,0,0,0,0,1,1.334980873
0.333333333,0.592725416,1.108895156,0.375,1,1,0,1,0,0,0,1,0,1,0,0.649613552
0,0.675424651,1.182820429,0.125,1,1,0,0,0,0,0,0,0,1,1,1.150045917
0.666666667,1.128440049,0.930147767,0.75,1,1,0,1,0,1,0,0,0,0,1,1.038782457
0,0.749538853,1.017923377,0.75,1,1,0,1,0,0,0,1,1,0,1,1.067165418
0,1.106011298,1.000973819,0.375,1,1,0,0,0,1,0,0,0,1,0,1.30019085
0.666666667,1.45263877,0.954318127,0.75,1,1,0,1,0,0,0,0,0,1,1,1.243393427
0.333333333,1.167372819,1.09343093,0.375,1,1,0,1,0,0,0,1,0,1,1,0.934155092
0.333333333,0.66083996,1.017923377,1,1,1,0,1,0,0,0,0,1,0,1,0.68508264
0,0.450207429,0.813510863,0.75,1,1,0,1,0,0,0,0,0,1,1,0.513802786
0,0.418913264,1.380463441,0.75,0,1,0,1,0,0,0,1,1,0,0,0.802972607
0.666666667,0.752934716,1.098612289,0.75,1,0,0,0,0,0,0,0,0,1,0,0.468212654
0,0.606462929,0.905378698,0.75,1,1,0,0,0,1,0,1,0,0,1,0.688830719
0.333333333,0.620935768,1.645971656,0.375,1,1,0,1,0,0,0,1,1,0,1,1.248451263
0,1.874632523,1.344745358,0.75,0,1,0,0,0,1,0,0,0,1,0,1.689789388
1,0.695800042,1.571518678,0.75,1,0,0,0,0,0,0,0,0,0,1,0.401876268
0,1.105444083,0.972070073,0.75,0,1,0,0,0,0,0,1,0,0,0,0.865961382
1,1.010899567,0.840631169,0.75,1,1,0,1,0,0,0,0,0,1,0,0.760985098
0,1.788641216,1.718048953,0.75,1,1,0,1,0,0,0,0,0,0,0,1.718681708
1,0.97029842,1.045549444,0.75,1,1,0,1,0,0,0,1,1,0,0,0.7155557
0.333333333,1.109746869,1.787875969,0.75,1,1,0,1,0,0,0,0,0,1,1,1.296122692
0,0.50360165,1.077723801,0.75,1,1,0,0,0,0,0,0,1,0,1,0.614130822
0.333333333,0.76161435,1.182820429,0.075,1,0,0,0,0,0,0,0,1,0,0,0.478237628
0,1.228602715,1.000973819,0.75,1,0,0,0,0,0,0,0,0,0,1,1.001174316
0,1.000367215,1.045549444,0.75,1,1,0,0,0,1,0,0,1,0,1,0.749221233
0,0.855344722,1.163635189,0.75,1,1,0,0,0,0,0,0,0,0,1,1.03793845
0.666666667,0.940903921,1.15878081,0.75,1,1,0,1,0,0,0,0,1,0,1,0.872209377
1,0.889438119,1.206295686,0.75,0,1,0,1,0,0,0,0,0,1,1,0.878294771
0,0.751480758,1.082986971,0.75,1,0,0,0,0,0,1,0,0,0,0,0.46653201
0.333333333,0.659777355,0.813510863,0.75,1,0,0,0,0,0,0,0,0,1,1,0.640703195
0,0.721782103,0.281851152,0.75,1,0,0,0,0,0,0,0,0,1,1,0.432118573
0,1.562132507,1.088222585,0.75,1,1,0,1,0,0,0,0,0,1,1,1.360301441
0,0.652128794,1.03459043,0.75,1,1,0,0,0,0,0,0,0,0,1,0.679811617
0,0.61335437,1.15878081,0.75,1,1,0,1,0,0,0,0,1,0,1,0.702651524
0.666666667,0.826517892,0.813510863,0.75,1,1,0,1,0,0,0,0,1,0,1,0.552786292
0.333333333,0.637197774,0.972070073,0.75,1,1,0,1,0,0,0,0,1,0,1,0.664903207
0,0.840369767,1.403585858,0.75,1,1,0,1,0,0,0,0,1,0,1,1.008483897
0,0.699212724,0.742306417,0.75,1,1,0,1,0,0,0,0,0,1,1,0.635508045
0,1.782894239,2.030796716,0.75,1,1,0,1,0,0,0,0,1,0,1,1.593629642
0,0.856073054,1.023509984,0.75,1,0,0,1,0,0,0,1,0,0,1,0.58650156
0.333333333,0.849205698,1.196971609,0.75,0,1,0,0,0,1,0,1,0,1,0,0.918935522
0,0.830559209,0.954318127,0.75,1,1,0,1,0,0,0,0,1,0,1,0.685383004
0.666666667,0.552317831,0.727436254,0.375,1,1,0,1,0,0,0,0,0,1,1,0.441705721
0,0.450644348,0.529259325,0.75,1,0,0,0,0,0,0,0,0,1,1,0.477498474
0,2.08348221,1.056389658,0.75,1,1,0,1,0,0,0,0,0,0,0,1.907256583
0,0.708537986,0.806614284,0.75,1,1,0,0,0,0,0,0,0,0,1,0.886556129
0,0.609635166,0.873528873,0.625,1,0,0,0,0,1,0,0,1,0,0,0.621840969
0,0.796680836,1.000973819,0.75,1,1,0,1,0,0,0,0,0,0,1,0.822276203
0,0.859561683,0.972070073,0.75,1,0,0,0,0,0,0,0,1,0,1,0.590472056
0,1.436878321,1.324336487,0.75,1,1,0,0,0,0,0,0,0,0,1,1.226492484
0,0.694431702,1.103766939,0.75,1,1,0,1,0,0,0,0,0,0,1,0.793987812
